Site Number,Source,Chapin Gray,Moccasin Gray,Mancos Gray,Plain Early Gray,Late Gray,Gray Ware (CU excavation desig.),Mixed Corrugated and Coils,Mancos Corrugated,Dolores Corrugated,Mesa Verde Corrugated,Corrugated,Chapin B/W,Piedra B/W,Early White Painted,Early White,Cortez B/W,Mancos B/W,Wetherill B/W,PII B/W,McElmo B/W,Mesa Verde B/W,PIII B/W,Late White,Undecorated White Ware (CU Desig.),Late B/W Mineral,Late B/W Organic,Late B/W Mixed,Abajo R/O,Bluff B/R,Deadman's B/R,Unid. Redware,La Plata B/R,Wingate B/R,Tusayan B/R,Tusayan Polychrome,Unid. Polychrome,Upper Gila Corrugated,Mummy Lake ,San Juan Redware,Tincup Polychrome,Tooled Mancos Gray,Obliterated Mancos Gray,"Mancos B/W, Corrugated Variety","McElmo B/W, Corrugated Variety","Mesa Verde B/W, Polychrome Variety","La Plata B/R, Undecorated Body Sherds",Escavada B/W,Gallup B/W,Sosi B/W,Citadel Polychrome,Undecorated Body Sherds,,,,,,,,,,,,
5MV00499,Lister 1964,6,,,,,,,57,,9,,,,,,,11,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,,,,,,,,17,,,,,,,,,1,,,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,1,,,,,,,7,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,16,,1,,,,,146,,44,,2,,,,3,38,,,51,12,,,,,,,,,,,,1,,1,,,1,,,,,2,,1,13,,,,,21,,,,,,,,,,,,
5MV00499,Lister 1964,21,1,2,,,,,239,,61,,,,,,,51,,,115,20,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,,,,,,,,,,,,,,,,,9,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,2,,,,,,,20,,3,,,,,,,6,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,,,,,,,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,,1,,,,,,11,,1,,,,,,,2,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,,,,,,,,28,,,,,,,,,3,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,25,,5,,,,,508,,103,,4,,,,2,83,,,184,24,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,20,1,1,,,,,943,,318,,,,,,7,103,,,319,27,,,,,,,1,,,,3,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,
5MV00499,Lister 1964,27,,2,,,,,1083,,333,,1,,,,8,144,,,476,21,,,,,,,,,,,3,,1,1,,,2,,,,,5,3,2,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,16,,5,,,,,501,,207,,2,,,,5,82,,,281,25,,,,,,,,,,,,,,,,,,,,,,2,,3,,1,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,48,2,7,,,,,676,,281,,2,,,,5,161,,,414,19,,,,,,,1,,,,1,,,,,,1,,,,,2,3,1,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,25,1,1,,,,,350,,128,,4,,,,4,87,,,224,31,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,18,,1,,,,,275,,65,,1,,,,3,46,,,130,46,,,,,,,,,,,3,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,4,,,,,,,116,,24,,,,,,,54,,,80,18,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,31,,10,,,,,250,,59,,1,,,,,72,,,82,12,,,,,,,,,,,,,1,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,38,2,5,,,,,542,,120,,5,,,,2,200,,,194,12,,,,,,,1,,,,1,,1,1,,,3,,,,,3,2,,,,2,1,1,,,,,,,,,,,,,
5MV00499,Lister 1964,43,,2,,,,,382,,59,,2,,,,6,120,,,76,1,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,1,,,,,,,,,,,,,,
5MV00499,Lister 1964,25,2,3,,,,,300,,82,,6,,,,3,95,,,132,4,,,1,,,,,,,,,,1,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,
5MV00499,Lister 1964,14,1,2,,,,,165,,37,,4,,,,2,56,,,80,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5MV00875,Lister 1965,11,1,26,,,567,,1713,,,,,34,,,152,450,,,134,,,,720,,,,,4,,,27,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00875,Lister 1965,14,,10,,,179,,773,,,,,5,,,72,354,,,15,,,,337,,,,3,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00875,Lister 1965,2,10,17,,,453,,2242,,,,,5,,,51,855,,,346,2,,,1355,,,,2,47,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00875,Lister 1965,,10,2,,,255,,1939,,,,,1,,,7,749,,,266,2,,,1316,,,,5,2,,,23,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00875,Lister 1965,46,11,84,,,1026,,2664,,,,,21,,,441,1075,,,262,,,,1762,,,,,6,,,43,1,2,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00875,Lister 1965,63,39,46,,,1471,,10073,,,,,33,,,284,3301,,,1579,7,,,4730,,,,14,5,,,138,,5,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV00866,Lister 1966,492,6,20,,,,,13366,,,,7,,,,67,4770,,,33,,,,6254,,,,1,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
