ID,Chapin Gray,Moccasin Gray,Mancos Gray,Plain Gray,Mancos Corrugated,Dolores Corrugated,Mesa Verde Corrugated,Corrugated,Chapin B/W,Piedra B/W,Early White,Cortez B/W,Mancos B/W,PII B/W,McElmo B/W,Mesa Verde B/W,PIII B/W,Late B/W  mineral,Late B/W  organic,Late White,Abajo R/O,Bluff B/R,Deadmans B/R,Unid San Juan Redware
61,0,0,0,280,0,99,0,1414,0,0,0,0,13,4,37,0,35,,,2,0,0,0,0
62,0,0,0,65,51,17,40,3292,0,0,0,19,625,,51,19,,,,3690,0,0,5,74
63,0,0,0,291,7,,16,1356,0,0,0,0,40,64,16,8,186,21,26,527,0,0,6,5
64,0,0,0,3,,,,57,0,0,0,0,0,0,7,2,13,1,1,6,0,0,0,0
65,0,0,0,363,0,22,12,915,0,0,0,0,0,,146,75,9,170,31,355,0,0,0,0
66,0,0,0,32,7,30,15,1996,0,0,0,1,88,,111,144,126,363,303,1160,0,0,0,0
67,0,0,0,79,0,14,56,2162,0,0,0,0,185,6,99,60,173,15,258,656,0,0,0,0
68,0,0,0,0,0,1,4,2481,0,0,0,0,10,6,10,34,140,51,771,1699,0,0,0,0
69,0,0,0,39,0,7,8,3332,0,0,0,0,12,5,15,60,244,39,595,1599,0,0,0,0
70,0,0,0,0,0,13,9,2473,0,0,0,0,18,11,13,42,154,99,552,1156,0,0,0,0
71,0,0,0,295,0,1,21,1301,0,0,0,0,25,33,19,31,278,19,26,577,0,0,0,0
72,0,0,0,33,0,6,39,2896,0,0,0,0,2,1,21,175,795,5,10,1349,0,0,0,0
73,0,0,0,44,0,0,31,3130,0,0,0,0,3,2,6,119,371,14,1104,1591,0,0,0,0
74,0,0,0,10,0,0,10,1320,0,0,0,0,0,1,3,76,259,0,29,394,0,0,0,0
75,0,0,0,351,0,52,228,5287,0,0,0,0,204,10,260,229,537,68,682,1675,0,0,0,0
76,0,0,0,32,0,5,19,2327,0,0,0,0,4,2,17,141,417,7,338,984,0,0,0,0
77,0,0,0,548,0,38,338,27051,0,0,0,0,6,4,109,736,4760,8,334,7844,0,0,0,0
78,0,0,0,11,0,3,1,1250,0,0,0,0,5,1,6,26,77,6,209,717,0,0,0,0
79,0,0,0,102,0,29,104,8090,0,0,0,0,52,2,63,267,1079,98,320,2541,0,0,0,0
80,0,0,0,696,0,106,344,24990,0,0,0,0,95,17,453,3151,3426,142,2195,9808,0,0,0,0
81,0,0,0,750,0,96,1242,55953,0,0,0,0,15,12,137,2211,7347,65,3904,17014,0,0,0,0
