"","Chapin.Gray","Moccasin.Gray","Mancos.Gray","Mancos.Corrugated","Dolores.Corrugated","Mesa.Verde.Corrugated","Chapin.B.W","Piedra.B.W","Cortez.B.W","Mancos.B.W","McElmo.B.W","Mesa.Verde.B.W","Abajo.R.O","Bluff.B.R","Deadmans.B.R"
"1",28.9328063241107,26.969696969697,0,0,0,0,10.0527009222661,0.421607378129117,0,0,0,0,30.4874835309618,3.13570487483531,0
"2",16.9876855067888,47.489737922324,1.48405431007262,0,0,0,0.221029365329965,17.2718661193559,0.189453741711399,0,0,0,0.0631512472371329,16.2930217871803,0
"3",11.825017088175,49.7607655502392,16.8147641831852,0.341763499658236,0,0,1.2987012987013,5.12645249487355,2.18728639781271,0,0,0,0.136705399863295,11.6883116883117,0.820232399179768
"4",2.18128938439166,5.96219098400388,35.4823073194377,2.85991274842462,0,0,0.242365487154629,2.27823557925351,32.1376635967038,6.88317983519147,0,0,0.824042656325739,2.08434318952981,9.06446921958313
"5",1.59357123399619,0.177063470444021,2.62871152274585,12.3944429310814,3.37782620539363,0.0953418687006265,0.0408608008716971,0.572051212203759,19.4497412149278,55.6796513211659,1.14410242440752,0,0.23154453827295,0.503949877417597,2.11114137837102
"6",0.0570125427594071,0,0.0570125427594071,7.21208665906499,6.07183580387685,4.8175598631699,0,0,0.712656784492588,60.9179019384265,18.5860889395667,1.08323831242873,0.0570125427594071,0.0285062713797035,0.399087799315849
"7",0.233918128654971,0,0,0.701754385964912,16.0818713450292,8.3625730994152,0,0,0,34.093567251462,34.7953216374269,5.32163742690059,0,0.0584795321637427,0.350877192982456
"8",0,0,0,0.383561643835616,6.46575342465753,15.6164383561644,0,0,0.0547945205479452,18.3561643835616,30.4657534246575,28.6575342465753,0,0,0
"9",0,0,0,0,5.57880055788006,16.3179916317992,0,0,0,11.0181311018131,13.1101813110181,53.9748953974895,0,0,0
"10",0,0,0,0,2.57330326020094,20.7402091449662,0,0,0,1.28152552798852,7.64814435103547,67.7568177158089,0,0,0
